scenario,split,topk,metric,issue,ground_truth,intopk,empty
low_traffic,train,1,latency,0,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,latency,0,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,1,latency,1,PetSearch_AWS::ECS::Fargate,False,True
low_traffic,train,3,latency,1,PetSearch_AWS::ECS::Fargate,False,True
low_traffic,train,1,latency,2,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,latency,2,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,latency,3,PetSearch_AWS::ECS::Fargate,False,True
low_traffic,train,3,latency,3,PetSearch_AWS::ECS::Fargate,False,True
low_traffic,train,1,availability,4,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,availability,4,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,availability,5,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,availability,5,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,availability,6,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,3,availability,6,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,train,1,availability,7,PetSearch_AWS::ECS::Fargate,False,False
low_traffic,train,3,availability,7,PetSearch_AWS::ECS::Fargate,True,False
low_traffic,test,1,latency,0,petInfo_AWS::DynamoDB::Table,True,False
low_traffic,test,3,latency,0,petInfo_AWS::DynamoDB::Table,True,False
low_traffic,test,1,latency,1,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,3,latency,1,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,availability,2,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,3,availability,2,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,availability,3,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,3,availability,3,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,availability,4,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,3,availability,4,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,1,availability,5,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,3,availability,5,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,availability,6,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,availability,6,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,availability,7,lambdastatusupdater_AWS::Lambda::Function,False,False
low_traffic,test,3,availability,7,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,availability,8,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,3,availability,8,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,1,availability,9,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,3,availability,9,petlistadoptions_AWS::ECS::Fargate,True,False
low_traffic,test,1,latency,10,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,3,latency,10,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,1,latency,11,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,3,latency,11,payforadoption_AWS::ECS::Container,False,False
low_traffic,test,1,latency,12,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,3,latency,12,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,1,latency,13,lambdastatusupdater_AWS::Lambda::Function,False,True
low_traffic,test,3,latency,13,lambdastatusupdater_AWS::Lambda::Function,False,True
low_traffic,test,1,latency,14,petInfo_AWS::DynamoDB::Table,True,False
low_traffic,test,3,latency,14,petInfo_AWS::DynamoDB::Table,True,False
low_traffic,test,1,latency,15,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,3,latency,15,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,latency,16,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,3,latency,16,lambdastatusupdater_AWS::Lambda::Function,True,False
low_traffic,test,1,latency,17,payforadoption_AWS::ECS::Container,True,False
low_traffic,test,3,latency,17,payforadoption_AWS::ECS::Container,True,False
high_traffic,train,1,latency,0,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,latency,0,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,latency,1,PetSearch_AWS::ECS::Fargate,False,True
high_traffic,train,3,latency,1,PetSearch_AWS::ECS::Fargate,False,True
high_traffic,train,1,latency,2,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,3,latency,2,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,latency,3,PetSearch_AWS::ECS::Fargate,False,True
high_traffic,train,3,latency,3,PetSearch_AWS::ECS::Fargate,False,True
high_traffic,train,1,availability,4,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,availability,4,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,availability,5,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,availability,5,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,availability,6,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,availability,6,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,train,1,availability,7,PetSearch_AWS::ECS::Fargate,False,False
high_traffic,train,3,availability,7,PetSearch_AWS::ECS::Fargate,True,False
high_traffic,test,1,latency,0,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,test,3,latency,0,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,test,1,latency,1,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,test,3,latency,1,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,test,1,availability,2,payforadoption_AWS::ECS::Container,True,False
high_traffic,test,3,availability,2,payforadoption_AWS::ECS::Container,True,False
high_traffic,test,1,availability,3,lambdastatusupdater_AWS::Lambda::Function,False,False
high_traffic,test,3,availability,3,lambdastatusupdater_AWS::Lambda::Function,False,False
high_traffic,test,1,availability,4,payforadoption_AWS::ECS::Container,True,False
high_traffic,test,3,availability,4,payforadoption_AWS::ECS::Container,True,False
high_traffic,test,1,availability,5,lambdastatusupdater_AWS::Lambda::Function,False,False
high_traffic,test,3,availability,5,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,test,1,availability,6,petlistadoptions_AWS::ECS::Fargate,False,False
high_traffic,test,3,availability,6,petlistadoptions_AWS::ECS::Fargate,True,False
high_traffic,test,1,availability,7,petlistadoptions_AWS::ECS::Fargate,False,False
high_traffic,test,3,availability,7,petlistadoptions_AWS::ECS::Fargate,True,False
high_traffic,test,1,availability,8,petlistadoptions_AWS::ECS::Fargate,False,False
high_traffic,test,3,availability,8,petlistadoptions_AWS::ECS::Fargate,False,False
high_traffic,test,1,availability,9,petlistadoptions_AWS::ECS::Fargate,False,False
high_traffic,test,3,availability,9,petlistadoptions_AWS::ECS::Fargate,True,False
high_traffic,test,1,latency,10,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,test,3,latency,10,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,test,1,latency,11,petInfo_AWS::DynamoDB::Table,True,False
high_traffic,test,3,latency,11,petInfo_AWS::DynamoDB::Table,True,False
high_traffic,test,1,latency,12,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,test,3,latency,12,lambdastatusupdater_AWS::Lambda::Function,True,False
high_traffic,test,1,latency,13,petInfo_AWS::DynamoDB::Table,True,False
high_traffic,test,3,latency,13,petInfo_AWS::DynamoDB::Table,True,False
high_traffic,test,1,latency,14,payforadoption_AWS::ECS::Container,True,False
high_traffic,test,3,latency,14,payforadoption_AWS::ECS::Container,True,False
high_traffic,test,1,latency,15,payforadoption_AWS::ECS::Container,False,False
high_traffic,test,3,latency,15,payforadoption_AWS::ECS::Container,True,False
high_traffic,test,1,latency,16,payforadoption_AWS::ECS::Container,False,False
high_traffic,test,3,latency,16,payforadoption_AWS::ECS::Container,True,False
high_traffic,test,1,latency,17,payforadoption_AWS::ECS::Container,False,False
high_traffic,test,3,latency,17,payforadoption_AWS::ECS::Container,False,False
temporal_traffic1,train,1,latency,0,PetSearch_AWS::ECS::Fargate,True,False
temporal_traffic1,train,3,latency,0,PetSearch_AWS::ECS::Fargate,True,False
temporal_traffic1,train,1,availability,1,PetSearch_AWS::ECS::Fargate,False,False
temporal_traffic1,train,3,availability,1,PetSearch_AWS::ECS::Fargate,True,False
temporal_traffic1,test,1,latency,0,payforadoption_AWS::ECS::Container,True,False
temporal_traffic1,test,3,latency,0,payforadoption_AWS::ECS::Container,True,False
temporal_traffic1,test,1,latency,1,petInfo_AWS::DynamoDB::Table,True,False
temporal_traffic1,test,3,latency,1,petInfo_AWS::DynamoDB::Table,True,False
temporal_traffic1,test,1,latency,2,lambdastatusupdater_AWS::Lambda::Function,True,False
temporal_traffic1,test,3,latency,2,lambdastatusupdater_AWS::Lambda::Function,True,False
temporal_traffic1,test,1,availability,3,payforadoption_AWS::ECS::Container,True,False
temporal_traffic1,test,3,availability,3,payforadoption_AWS::ECS::Container,True,False
temporal_traffic1,test,1,availability,4,petlistadoptions_AWS::ECS::Fargate,False,False
temporal_traffic1,test,3,availability,4,petlistadoptions_AWS::ECS::Fargate,True,False
temporal_traffic1,test,1,availability,5,lambdastatusupdater_AWS::Lambda::Function,False,False
temporal_traffic1,test,3,availability,5,lambdastatusupdater_AWS::Lambda::Function,True,False
temporal_traffic2,train,1,latency,0,PetSearch_AWS::ECS::Fargate,True,False
temporal_traffic2,train,3,latency,0,PetSearch_AWS::ECS::Fargate,True,False
temporal_traffic2,train,1,availability,1,PetSearch_AWS::ECS::Fargate,True,False
temporal_traffic2,train,3,availability,1,PetSearch_AWS::ECS::Fargate,True,False
temporal_traffic2,test,1,latency,0,petInfo_AWS::DynamoDB::Table,True,False
temporal_traffic2,test,3,latency,0,petInfo_AWS::DynamoDB::Table,True,False
temporal_traffic2,test,1,latency,1,lambdastatusupdater_AWS::Lambda::Function,True,False
temporal_traffic2,test,3,latency,1,lambdastatusupdater_AWS::Lambda::Function,True,False
temporal_traffic2,test,1,latency,2,payforadoption_AWS::ECS::Container,True,False
temporal_traffic2,test,3,latency,2,payforadoption_AWS::ECS::Container,True,False
temporal_traffic2,test,1,availability,3,lambdastatusupdater_AWS::Lambda::Function,False,False
temporal_traffic2,test,3,availability,3,lambdastatusupdater_AWS::Lambda::Function,True,False
temporal_traffic2,test,1,availability,4,petlistadoptions_AWS::ECS::Fargate,False,False
temporal_traffic2,test,3,availability,4,petlistadoptions_AWS::ECS::Fargate,True,False
temporal_traffic2,test,1,availability,5,payforadoption_AWS::ECS::Container,True,False
temporal_traffic2,test,3,availability,5,payforadoption_AWS::ECS::Container,True,False
